symbol1	symbol2	experimental	database	textmining	combined_score	gene1	gene2	ID	gene	pp
KDM6B	RBBP5	690	540	369	902	ENSP00000254846	ENSP00000264515	RBBP5KDM6B	KDM6B	pp
RBBP5	KMT2B	917	500	789	990	ENSP00000264515	ENSP00000398837	RBBP5KMT2B	RBBP5	pp
RBBP5	KMT2D	601	900	883	994	ENSP00000264515	ENSP00000301067	RBBP5KMT2D	RBBP5	pp
RBBP5	PAXIP1	507	900	597	978	ENSP00000264515	ENSP00000384048	RBBP5PAXIP1	RBBP5	pp
RBBP8	BRCA1	925	900	909	999	ENSP00000382628	ENSP00000418960	RBBP8BRCA1	RBBP8	pp
BRCA2	RBBP8	357	600	642	899	ENSP00000369497	ENSP00000382628	RBBP8BRCA2	BRCA2	pp
EXO1	RBBP8	483	600	654	922	ENSP00000355506	ENSP00000382628	RBBP8EXO1	EXO1	pp
RBBP8	KDM1A	0	900	0	900	ENSP00000382628	ENSP00000383042	RBBP8KDM1A	RBBP8	pp
EXO1	RECQL	0	0	835	834	ENSP00000355506	ENSP00000416739	RECQLEXO1	EXO1	pp
MAD2L2	REV3L	954	900	953	999	ENSP00000235310	ENSP00000351697	REV3LMAD2L2	MAD2L2	pp
RIF1	PAXIP1	0	800	172	827	ENSP00000243326	ENSP00000384048	RIF1PAXIP1	RIF1	pp
SETD1A	RBBP5	886	900	945	999	ENSP00000262519	ENSP00000264515	SETD1ARBBP5	SETD1A	pp
SETX	BRCA1	550	0	891	948	ENSP00000224140	ENSP00000418960	SETXBRCA1	SETX	pp
ATR	SMARCAL1	106	900	0	906	ENSP00000343741	ENSP00000349823	SMARCAL1ATR	ATR	pp
SMC1A	SMC1B	243	900	489	957	ENSP00000323421	ENSP00000350036	SMC1BSMC1A	SMC1A	pp
SMC2	NCAPD2	984	900	717	999	ENSP00000286398	ENSP00000325017	SMC2NCAPD2	SMC2	pp
SMC2	NCAPG2	539	800	177	917	ENSP00000286398	ENSP00000387007	SMC2NCAPG2	SMC2	pp
SMC2	SMC1A	793	0	429	876	ENSP00000286398	ENSP00000323421	SMC2SMC1A	SMC2	pp
TELO2	MTOR	787	900	271	983	ENSP00000262319	ENSP00000354558	TELO2MTOR	TELO2	pp
ATR	TIMELESS	270	900	272	942	ENSP00000343741	ENSP00000450607	TIMELESSATR	ATR	pp
PER1	TIMELESS	338	900	330	951	ENSP00000314420	ENSP00000450607	TIMELESSPER1	PER1	pp
TP53BP1	BRCA1	542	900	889	994	ENSP00000371475	ENSP00000418960	TP53BP1BRCA1	TP53BP1	pp
MAD2L2	TP53BP1	405	0	715	823	ENSP00000235310	ENSP00000371475	TP53BP1MAD2L2	MAD2L2	pp
TP53BP1	PAXIP1	504	600	914	981	ENSP00000371475	ENSP00000384048	TP53BP1PAXIP1	TP53BP1	pp
RIF1	TP53BP1	542	600	742	948	ENSP00000243326	ENSP00000371475	TP53BP1RIF1	RIF1	pp
TRRAP	ACTL6A	926	900	62	992	ENSP00000352925	ENSP00000397552	TRRAPACTL6A	TRRAP	pp
MSL2	TRRAP	0	900	0	900	ENSP00000311827	ENSP00000352925	TRRAPMSL2	MSL2	pp
TRRAP	NFRKB	0	900	0	900	ENSP00000352925	ENSP00000436926	TRRAPNFRKB	TRRAP	pp
TRRAP	SUPT20H	977	800	287	996	ENSP00000352925	ENSP00000417510	TRRAPSUPT20H	TRRAP	pp
TELO2	TTI2	483	540	747	934	ENSP00000262319	ENSP00000478396	TTI2TELO2	TELO2	pp
VPS72	ACTL6A	654	800	0	927	ENSP00000346464	ENSP00000397552	VPS72ACTL6A	VPS72	pp
VPS72	TRRAP	619	800	414	951	ENSP00000346464	ENSP00000352925	VPS72TRRAP	VPS72	pp
WRN	ATR	605	600	371	891	ENSP00000298139	ENSP00000343741	WRNATR	WRN	pp
WRN	BRCA1	644	600	811	970	ENSP00000298139	ENSP00000418960	WRNBRCA1	WRN	pp
WRN	EXO1	0	600	902	959	ENSP00000298139	ENSP00000355506	WRNEXO1	WRN	pp
WRN	RAD51	550	600	718	944	ENSP00000298139	ENSP00000372088	WRNRAD51	WRN	pp
WRN	TOP3B	725	0	459	844	ENSP00000298139	ENSP00000381773	WRNTOP3B	WRN	pp
